Information Type LHS,Information Type RHS,Relation
unique application numbers,access device,hypernymy
unique application numbers,access devices,hypernymy
unique application numbers,computer information,hypernymy
unique application numbers,computer system information,hypernymy
unique application numbers,device,hypernymy
unique application numbers,device-related data,hypernymy
unique application numbers,device-related information,hypernymy
unique application numbers,device-specific information,hypernymy
unique application numbers,device information,hypernymy
unique application numbers,identifiers,hypernymy
unique application numbers,identifying information,hypernymy
unique application numbers,information,hypernymy
unique application numbers,machine,hypernymy
unique application numbers,software,hypernymy
unique application numbers,software information,hypernymy
unique application numbers,technical data,hypernymy
unique application numbers,technical information,hypernymy
unique application numbers,technically gathered information,hypernymy
unique application numbers,technology,hypernymy
unique application numbers,unique information,hypernymy
unique browser,access device,hypernymy
unique browser,access devices,hypernymy
unique browser,application information,hypernymy
unique browser,applications,hypernymy
unique browser,computer information,hypernymy
unique browser,computer system information,hypernymy
unique browser,device,hypernymy
unique browser,device-related data,hypernymy
unique browser,device-related information,hypernymy
unique browser,device-specific information,hypernymy
unique browser,device information,hypernymy
unique browser,identifiers,hypernymy
unique browser,identifying information,hypernymy
unique browser,information,hypernymy
unique browser,machine,hypernymy
unique browser,software,hypernymy
unique browser,software information,hypernymy
unique browser,technical data,hypernymy
unique browser,technical information,hypernymy
unique browser,technically gathered information,hypernymy
unique browser,technology,hypernymy
unique browser,unique identifier,hypernymy
unique browser,unique identifiers,hypernymy
unique browser,unique information,hypernymy
unique device id,access device,hypernymy
unique device id,access devices,hypernymy
unique device id,device,hypernymy
unique device id,device-related data,hypernymy
unique device id,device-related information,hypernymy
unique device id,device-specific information,hypernymy
unique device id,device information,hypernymy
unique device id,identifiers,hypernymy
unique device id,identifying information,hypernymy
unique device id,information,hypernymy
unique device id,machine,hypernymy
unique device id,technical data,hypernymy
unique device id,technical information,hypernymy
unique device id,technically gathered information,hypernymy
unique device id,technology,hypernymy
unique device id,unique information,hypernymy
unique device identifier,access device,hypernymy
unique device identifier,access devices,hypernymy
unique device identifier,device,hypernymy
unique device identifier,device-related data,hypernymy
unique device identifier,device-related information,hypernymy
unique device identifier,device-specific information,hypernymy
unique device identifier,device information,hypernymy
unique device identifier,identifiers,hypernymy
unique device identifier,identifying information,hypernymy
unique device identifier,information,hypernymy
unique device identifier,machine,hypernymy
unique device identifier,technical data,hypernymy
unique device identifier,technical information,hypernymy
unique device identifier,technically gathered information,hypernymy
unique device identifier,technology,hypernymy
unique device identifier,unique information,hypernymy
unique device identifiers,access device,hypernymy
unique device identifiers,access devices,hypernymy
unique device identifiers,device,hypernymy
unique device identifiers,device-related data,hypernymy
unique device identifiers,device-related information,hypernymy
unique device identifiers,device-specific information,hypernymy
unique device identifiers,device information,hypernymy
unique device identifiers,identifiers,hypernymy
unique device identifiers,identifying information,hypernymy
unique device identifiers,information,hypernymy
unique device identifiers,machine,hypernymy
unique device identifiers,technical data,hypernymy
unique device identifiers,technical information,hypernymy
unique device identifiers,technically gathered information,hypernymy
unique device identifiers,technology,hypernymy
unique device identifiers,unique information,hypernymy
unique device ids,access device,hypernymy
unique device ids,access devices,hypernymy
unique device ids,device,hypernymy
unique device ids,device-related data,hypernymy
unique device ids,device-related information,hypernymy
unique device ids,device-specific information,hypernymy
unique device ids,device information,hypernymy
unique device ids,identifiers,hypernymy
unique device ids,identifying information,hypernymy
unique device ids,information,hypernymy
unique device ids,machine,hypernymy
unique device ids,technical data,hypernymy
unique device ids,technical information,hypernymy
unique device ids,technically gathered information,hypernymy
unique device ids,technology,hypernymy
unique device ids,unique information,hypernymy
unique hardware identifiers,access device,hypernymy
unique hardware identifiers,access devices,hypernymy
unique hardware identifiers,device,hypernymy
unique hardware identifiers,device-related data,hypernymy
unique hardware identifiers,device-related information,hypernymy
unique hardware identifiers,device-specific information,hypernymy
unique hardware identifiers,device identifier,hypernymy
unique hardware identifiers,device identifiers,hypernymy
unique hardware identifiers,device information,hypernymy
unique hardware identifiers,device numbers,hypernymy
unique hardware identifiers,did,hypernymy
unique hardware identifiers,hardware,hypernymy
unique hardware identifiers,hardware information,hypernymy
unique hardware identifiers,identifiers,hypernymy
unique hardware identifiers,identifying information,hypernymy
unique hardware identifiers,information,hypernymy
unique hardware identifiers,machine,hypernymy
unique hardware identifiers,technical data,hypernymy
unique hardware identifiers,technical information,hypernymy
unique hardware identifiers,technically gathered information,hypernymy
unique hardware identifiers,technology,hypernymy
unique hardware identifiers,unique identifier,hypernymy
unique hardware identifiers,unique identifiers,hypernymy
unique hardware identifiers,unique information,hypernymy
unique identifier,information,hypernymy
unique identifiers,information,hypernymy
unique user device number,access device,hypernymy
unique user device number,access devices,hypernymy
unique user device number,device,hypernymy
unique user device number,device-related data,hypernymy
unique user device number,device-related information,hypernymy
unique user device number,device-specific information,hypernymy
unique user device number,device information,hypernymy
unique user device number,identifiers,hypernymy
unique user device number,identifying information,hypernymy
unique user device number,information,hypernymy
unique user device number,machine,hypernymy
unique user device number,technical data,hypernymy
unique user device number,technical information,hypernymy
unique user device number,technically gathered information,hypernymy
unique user device number,technology,hypernymy
unique user device number,unique information,hypernymy
uri,access device,hypernymy
uri,access devices,hypernymy
uri,computer information,hypernymy
uri,computer system information,hypernymy
uri,device,hypernymy
uri,device-related data,hypernymy
uri,device-related information,hypernymy
uri,device-specific information,hypernymy
uri,device information,hypernymy
uri,event,hypernymy
uri,information,hypernymy
uri,machine,hypernymy
uri,software,hypernymy
uri,software information,hypernymy
uri,technical data,hypernymy
uri,technical information,hypernymy
uri,technically gathered information,hypernymy
uri,technology,hypernymy
url,access device,hypernymy
url,access devices,hypernymy
url,aggregated data,hypernymy
url,browser information,hypernymy
url,computer information,hypernymy
url,computer system information,hypernymy
url,device,hypernymy
url,device-related data,hypernymy
url,device-related information,hypernymy
url,device-specific information,hypernymy
url,device information,hypernymy
url,event,hypernymy
url,information,hypernymy
url,interactions,hypernymy
url,log data,hypernymy
url,log information,hypernymy
url,machine,hypernymy
url,software,hypernymy
url,software information,hypernymy
url,statistics,hypernymy
url,technical data,hypernymy
url,technical information,hypernymy
url,technically gathered information,hypernymy
url,technology,hypernymy
url,usage,hypernymy
url,usage information,hypernymy
urls,access device,hypernymy
urls,access devices,hypernymy
urls,aggregated data,hypernymy
urls,browser information,hypernymy
urls,computer information,hypernymy
urls,computer system information,hypernymy
urls,device,hypernymy
urls,device-related data,hypernymy
urls,device-related information,hypernymy
urls,device-specific information,hypernymy
urls,device information,hypernymy
urls,event,hypernymy
urls,information,hypernymy
urls,interactions,hypernymy
urls,log data,hypernymy
urls,log information,hypernymy
urls,machine,hypernymy
urls,software,hypernymy
urls,software information,hypernymy
urls,statistics,hypernymy
urls,technical data,hypernymy
urls,technical information,hypernymy
urls,technically gathered information,hypernymy
urls,technology,hypernymy
urls,usage,hypernymy
urls,usage information,hypernymy
usage,information,hypernymy
usage dates,event,hypernymy
usage dates,information,hypernymy
usage dates,log data,hypernymy
usage dates,log information,hypernymy
usage dates,technical data,hypernymy
usage dates,technical information,hypernymy
usage dates,technically gathered information,hypernymy
usage information,information,hypernymy
user content,information,hypernymy
user content,personal information,hypernymy
user content,technical data,hypernymy
user content,technical information,hypernymy
user content,technically gathered information,hypernymy
user information,information,hypernymy
users internet protocol,information,hypernymy
users internet protocol,personal information,hypernymy
users internet protocol,technical data,hypernymy
users internet protocol,technical information,hypernymy
users internet protocol,technically gathered information,hypernymy
version,information,hypernymy
web browser software information,access device,hypernymy
web browser software information,access devices,hypernymy
web browser software information,computer information,hypernymy
web browser software information,computer system information,hypernymy
web browser software information,device,hypernymy
web browser software information,device-related data,hypernymy
web browser software information,device-related information,hypernymy
web browser software information,device-specific information,hypernymy
web browser software information,device information,hypernymy
web browser software information,information,hypernymy
web browser software information,machine,hypernymy
web browser software information,software,hypernymy
web browser software information,software information,hypernymy
web browser software information,technical data,hypernymy
web browser software information,technical information,hypernymy
web browser software information,technically gathered information,hypernymy
web browser software information,technology,hypernymy
web browser type,access device,hypernymy
web browser type,access devices,hypernymy
web browser type,computer information,hypernymy
web browser type,computer system information,hypernymy
web browser type,device,hypernymy
web browser type,device-related data,hypernymy
web browser type,device-related information,hypernymy
web browser type,device-specific information,hypernymy
web browser type,device information,hypernymy
web browser type,information,hypernymy
web browser type,machine,hypernymy
web browser type,software,hypernymy
web browser type,software information,hypernymy
web browser type,technical data,hypernymy
web browser type,technical information,hypernymy
web browser type,technically gathered information,hypernymy
web browser type,technology,hypernymy
web pages,access device,hypernymy
web pages,access devices,hypernymy
web pages,computer information,hypernymy
web pages,computer system information,hypernymy
web pages,device,hypernymy
web pages,device-related data,hypernymy
web pages,device-related information,hypernymy
web pages,device-specific information,hypernymy
web pages,device information,hypernymy
web pages,event,hypernymy
web pages,information,hypernymy
web pages,machine,hypernymy
web pages,software,hypernymy
web pages,software information,hypernymy
web pages,technical data,hypernymy
web pages,technical information,hypernymy
web pages,technically gathered information,hypernymy
web pages,technology,hypernymy
web pages visited,access device,hypernymy
web pages visited,access devices,hypernymy
web pages visited,computer information,hypernymy
web pages visited,computer system information,hypernymy
web pages visited,device,hypernymy
web pages visited,device-related data,hypernymy
web pages visited,device-related information,hypernymy
web pages visited,device-specific information,hypernymy
web pages visited,device information,hypernymy
web pages visited,event,hypernymy
web pages visited,information,hypernymy
web pages visited,machine,hypernymy
web pages visited,software,hypernymy
web pages visited,software information,hypernymy
web pages visited,technical data,hypernymy
web pages visited,technical information,hypernymy
web pages visited,technically gathered information,hypernymy
web pages visited,technology,hypernymy
website information,access device,hypernymy
website information,access devices,hypernymy
website information,computer information,hypernymy
website information,computer system information,hypernymy
website information,device,hypernymy
website information,device-related data,hypernymy
website information,device-related information,hypernymy
website information,device-specific information,hypernymy
website information,device information,hypernymy
website information,event,hypernymy
website information,information,hypernymy
website information,machine,hypernymy
website information,software,hypernymy
website information,software information,hypernymy
website information,technical data,hypernymy
website information,technical information,hypernymy
website information,technically gathered information,hypernymy
website information,technology,hypernymy
website traffic,access device,hypernymy
website traffic,access devices,hypernymy
website traffic,computer information,hypernymy
website traffic,computer system information,hypernymy
website traffic,device,hypernymy
website traffic,device-related data,hypernymy
website traffic,device-related information,hypernymy
website traffic,device-specific information,hypernymy
website traffic,device information,hypernymy
website traffic,event,hypernymy
website traffic,information,hypernymy
website traffic,machine,hypernymy
website traffic,software,hypernymy
website traffic,software information,hypernymy
website traffic,technical data,hypernymy
website traffic,technical information,hypernymy
website traffic,technically gathered information,hypernymy
website traffic,technology,hypernymy
wi-fi access point information,access device,hypernymy
wi-fi access point information,access devices,hypernymy
wi-fi access point information,device,hypernymy
wi-fi access point information,device-related data,hypernymy
wi-fi access point information,device-related information,hypernymy
wi-fi access point information,device-specific information,hypernymy
wi-fi access point information,device information,hypernymy
wi-fi access point information,information,hypernymy
wi-fi access point information,machine,hypernymy
wi-fi access point information,technical data,hypernymy
wi-fi access point information,technical information,hypernymy
wi-fi access point information,technically gathered information,hypernymy
wi-fi access point information,technology,hypernymy
wi-fi access points,access device,hypernymy
wi-fi access points,access devices,hypernymy
wi-fi access points,device,hypernymy
wi-fi access points,device-related data,hypernymy
wi-fi access points,device-related information,hypernymy
wi-fi access points,device-specific information,hypernymy
wi-fi access points,device information,hypernymy
wi-fi access points,information,hypernymy
wi-fi access points,machine,hypernymy
wi-fi access points,technical data,hypernymy
wi-fi access points,technical information,hypernymy
wi-fi access points,technically gathered information,hypernymy
wi-fi access points,technology,hypernymy
wifi signal strength,information,hypernymy
wifi signal strength,network information,hypernymy
wifi signal strength,technical data,hypernymy
wifi signal strength,technical information,hypernymy
wifi signal strength,technically gathered information,hypernymy
wifi signal strength,technology,hypernymy
zip code,geo-location,hypernymy
zip code,geo-location information,hypernymy
zip code,geographic data,hypernymy
zip code,geographic information,hypernymy
zip code,geographic location,hypernymy
zip code,geographic location information,hypernymy
zip code,information,hypernymy
zip code,location,hypernymy
zip code,location data,hypernymy
zip code,location information,hypernymy
zip code,locations,hypernymy
zip code,technical data,hypernymy
zip code,technical information,hypernymy
zip code,technically gathered information,hypernymy
access devices,access device,synonymy
advertising id,advertiser id,synonymy
applications,application information,synonymy
browser types,browser type,synonymy
computer system information,computer information,synonymy
contact folder,contact entries,synonymy
contact list,contact entries,synonymy
contact list,contact folder,synonymy
contacts folder,contact entries,synonymy
contacts folder,contact folder,synonymy
contacts folder,contact list,synonymy
contacts folder,contacts,synonymy
contacts,contact entries,synonymy
contacts,contact folder,synonymy
contacts,contact list,synonymy
crashes,crash reports,synonymy
datestamp,date,synonymy
device identifiers,device identifier,synonymy
device information,access device,synonymy
device information,access devices,synonymy
device information,device,synonymy
device make,device brand,synonymy
device numbers,device identifier,synonymy
device numbers,device identifiers,synonymy
device,access device,synonymy
device,access devices,synonymy
device-related data,access device,synonymy
device-related data,access devices,synonymy
device-related data,device information,synonymy
device-related data,device,synonymy
device-related information,access device,synonymy
device-related information,access devices,synonymy
device-related information,device information,synonymy
device-related information,device,synonymy
device-related information,device-related data,synonymy
device-specific information,access device,synonymy
device-specific information,access devices,synonymy
device-specific information,device information,synonymy
device-specific information,device,synonymy
device-specific information,device-related data,synonymy
device-specific information,device-related information,synonymy
did,device identifier,synonymy
did,device identifiers,synonymy
did,device numbers,synonymy
domain names,domain name,synonymy
general geographic location,coarse location,synonymy
geo-location information,geo-location,synonymy
geographic data,geo-location information,synonymy
geographic data,geo-location,synonymy
geographic information,geo-location information,synonymy
geographic information,geo-location,synonymy
geographic information,geographic data,synonymy
geographic location information,geo-location information,synonymy
geographic location information,geo-location,synonymy
geographic location information,geographic data,synonymy
geographic location information,geographic information,synonymy
geographic location information,geographic location,synonymy
geographic location,geo-location information,synonymy
geographic location,geo-location,synonymy
geographic location,geographic data,synonymy
geographic location,geographic information,synonymy
gps information,global positioning system,synonymy
hardware information,hardware,synonymy
high-level geographic information,coarse location,synonymy
high-level geographic information,general geographic location,synonymy
identifying information,identifiers,synonymy
internet protocol addresses,internet protocol address,synonymy
ip address,internet protocol address,synonymy
ip address,internet protocol addresses,synonymy
ip addresses,internet protocol address,synonymy
ip addresses,internet protocol addresses,synonymy
ip addresses,ip address,synonymy
ip-address,internet protocol address,synonymy
ip-address,internet protocol addresses,synonymy
ip-address,ip address,synonymy
ip-address,ip addresses,synonymy
isp,internet service provider,synonymy
language modeling statistics,language modeling data,synonymy
location data,geo-location information,synonymy
location data,geo-location,synonymy
location data,geographic data,synonymy
location data,geographic information,synonymy
location data,geographic location information,synonymy
location data,geographic location,synonymy
location data,location,synonymy
location information,geo-location information,synonymy
location information,geo-location,synonymy
location information,geographic data,synonymy
location information,geographic information,synonymy
location information,geographic location information,synonymy
location information,geographic location,synonymy
location information,location data,synonymy
location information,location,synonymy
location,geo-location information,synonymy
location,geo-location,synonymy
location,geographic data,synonymy
location,geographic information,synonymy
location,geographic location information,synonymy
location,geographic location,synonymy
locations,geo-location information,synonymy
locations,geo-location,synonymy
locations,geographic data,synonymy
locations,geographic information,synonymy
locations,geographic location information,synonymy
locations,geographic location,synonymy
locations,location data,synonymy
locations,location information,synonymy
locations,location,synonymy
log information,log data,synonymy
mac address,ethernet mac address,synonymy
machine,access device,synonymy
machine,access devices,synonymy
machine,device information,synonymy
machine,device,synonymy
machine,device-related data,synonymy
machine,device-related information,synonymy
machine,device-specific information,synonymy
media information,media,synonymy
mobile country code,mcc,synonymy
mobile device identifiers,mobile device id,synonymy
mobile device ids,mobile device id,synonymy
mobile device ids,mobile device identifiers,synonymy
mobile device information,mobile device,synonymy
mobile devices unique identifier,mobile devices unique device id,synonymy
network media access control,ethernet mac address,synonymy
network media access control,mac address,synonymy
open udid,open device identification number,synonymy
operating system information,operating system,synonymy
operation system version,operating system version,synonymy
pages viewed,page views,synonymy
peripherals,peripheral hardware,synonymy
possibly ip address,internet protocol address,synonymy
possibly ip address,internet protocol addresses,synonymy
possibly ip address,ip address,synonymy
possibly ip address,ip addresses,synonymy
possibly ip address,ip-address,synonymy
real-time location-based information,global positioning system,synonymy
real-time location-based information,gps information,synonymy
referring pages,referral url,synonymy
referring url,referral url,synonymy
referring url,referring pages,synonymy
software information,software,synonymy
specific geolocation data,specific geolocation,synonymy
statistics,aggregated data,synonymy
tablet information,tablet,synonymy
technical information,technical data,synonymy
technically gathered information,technical data,synonymy
technically gathered information,technical information,synonymy
telephone number,phone number,synonymy
unique device identifier,unique device id,synonymy
unique device identifiers,unique device id,synonymy
unique device identifiers,unique device identifier,synonymy
unique device ids,unique device id,synonymy
unique device ids,unique device identifier,synonymy
unique device ids,unique device identifiers,synonymy
unique identifiers,unique identifier,synonymy
unique user device number,unique device id,synonymy
unique user device number,unique device identifier,synonymy
unique user device number,unique device identifiers,synonymy
unique user device number,unique device ids,synonymy
urls,url,synonymy
usage information,interactions,synonymy
usage information,usage,synonymy
usage,interactions,synonymy
users internet protocol,internet protocol,synonymy
web browser type,browser type,synonymy
web browser type,browser types,synonymy
web pages visited,page views,synonymy
web pages visited,pages viewed,synonymy
web pages visited,web pages,synonymy
web pages,page views,synonymy
web pages,pages viewed,synonymy
website information,page views,synonymy
website information,pages viewed,synonymy
website information,web pages visited,synonymy
website information,web pages,synonymy
website traffic,page views,synonymy
website traffic,pages viewed,synonymy
website traffic,web pages visited,synonymy
website traffic,web pages,synonymy
website traffic,website information,synonymy
wi-fi access points,wi-fi access point information,synonymy
zip code,postal code,synonymy
access times,access device,unrelated
access times,access devices,unrelated
achievements,access device,unrelated
achievements,access devices,unrelated
achievements,access times,unrelated
ads clicked,access times,unrelated
ads clicked,achievements,unrelated
ads viewed,access times,unrelated
ads viewed,achievements,unrelated
ads viewed,ads clicked,unrelated
advertiser id,access device,unrelated
advertiser id,access devices,unrelated
advertiser id,access times,unrelated
advertiser id,achievements,unrelated
advertiser id,ads clicked,unrelated
advertiser id,ads viewed,unrelated
advertising id,access device,unrelated
advertising id,access devices,unrelated
advertising id,access times,unrelated
advertising id,achievements,unrelated
advertising id,ads clicked,unrelated
advertising id,ads viewed,unrelated
aggregated data,access device,unrelated
aggregated data,access devices,unrelated
aggregated data,access times,unrelated
aggregated data,achievements,unrelated
aggregated data,ads clicked,unrelated
aggregated data,ads viewed,unrelated
aggregated data,advertiser id,unrelated
aggregated data,advertising id,unrelated
android id,access times,unrelated
android id,achievements,unrelated
android id,ads clicked,unrelated
android id,ads viewed,unrelated
android id,advertiser id,unrelated
android id,advertising id,unrelated
android id,aggregated data,unrelated
anonymized information,access device,unrelated
anonymized information,access devices,unrelated
anonymized information,access times,unrelated
anonymized information,achievements,unrelated
anonymized information,ads clicked,unrelated
anonymized information,ads viewed,unrelated
anonymized information,advertiser id,unrelated
anonymized information,advertising id,unrelated
anonymized information,aggregated data,unrelated
anonymized information,android id,unrelated
anonymous user usage data,access device,unrelated
anonymous user usage data,access devices,unrelated
anonymous user usage data,access times,unrelated
anonymous user usage data,achievements,unrelated
anonymous user usage data,ads clicked,unrelated
anonymous user usage data,ads viewed,unrelated
anonymous user usage data,advertiser id,unrelated
anonymous user usage data,advertising id,unrelated
anonymous user usage data,aggregated data,unrelated
anonymous user usage data,android id,unrelated
apple game center id,access device,unrelated
apple game center id,access devices,unrelated
apple game center id,access times,unrelated
apple game center id,achievements,unrelated
apple game center id,ads clicked,unrelated
apple game center id,ads viewed,unrelated
apple game center id,advertiser id,unrelated
apple game center id,advertising id,unrelated
apple game center id,aggregated data,unrelated
apple game center id,android id,unrelated
apple game center id,anonymized information,unrelated
apple game center id,anonymous user usage data,unrelated
application information,access times,unrelated
application information,achievements,unrelated
application information,ads clicked,unrelated
application information,ads viewed,unrelated
application information,advertiser id,unrelated
application information,advertising id,unrelated
application information,aggregated data,unrelated
application information,android id,unrelated
application information,anonymized information,unrelated
application information,anonymous user usage data,unrelated
application information,apple game center id,unrelated
application software,access times,unrelated
application software,achievements,unrelated
application software,ads clicked,unrelated
application software,ads viewed,unrelated
application software,advertiser id,unrelated
application software,advertising id,unrelated
application software,aggregated data,unrelated
application software,android id,unrelated
application software,anonymized information,unrelated
application software,anonymous user usage data,unrelated
application software,apple game center id,unrelated
application usage information,access times,unrelated
application usage information,achievements,unrelated
application usage information,ads clicked,unrelated
application usage information,ads viewed,unrelated
application usage information,advertiser id,unrelated
application usage information,advertising id,unrelated
application usage information,aggregated data,unrelated
application usage information,android id,unrelated
application usage information,anonymized information,unrelated
application usage information,anonymous user usage data,unrelated
application usage information,apple game center id,unrelated
application usage information,application software,unrelated
application version number,access times,unrelated
application version number,achievements,unrelated
application version number,ads clicked,unrelated
application version number,ads viewed,unrelated
application version number,advertiser id,unrelated
application version number,advertising id,unrelated
application version number,aggregated data,unrelated
application version number,android id,unrelated
application version number,anonymized information,unrelated
application version number,anonymous user usage data,unrelated
application version number,apple game center id,unrelated
application version number,application software,unrelated
application version number,application usage information,unrelated
applications,access times,unrelated
applications,achievements,unrelated
applications,ads clicked,unrelated
applications,ads viewed,unrelated
applications,advertiser id,unrelated
applications,advertising id,unrelated
applications,aggregated data,unrelated
applications,android id,unrelated
applications,anonymized information,unrelated
applications,anonymous user usage data,unrelated
applications,apple game center id,unrelated
approximate location,access device,unrelated
approximate location,access devices,unrelated
approximate location,access times,unrelated
approximate location,achievements,unrelated
approximate location,ads clicked,unrelated
approximate location,ads viewed,unrelated
approximate location,advertiser id,unrelated
approximate location,advertising id,unrelated
approximate location,aggregated data,unrelated
approximate location,android id,unrelated
approximate location,anonymized information,unrelated
approximate location,anonymous user usage data,unrelated
approximate location,apple game center id,unrelated
approximate location,application information,unrelated
approximate location,application software,unrelated
approximate location,application usage information,unrelated
approximate location,application version number,unrelated
approximate location,applications,unrelated
area code,access times,unrelated
area code,achievements,unrelated
area code,ads clicked,unrelated
area code,ads viewed,unrelated
area code,advertiser id,unrelated
area code,advertising id,unrelated
area code,aggregated data,unrelated
area code,android id,unrelated
area code,anonymized information,unrelated
area code,anonymous user usage data,unrelated
area code,apple game center id,unrelated
area code,application information,unrelated
area code,application software,unrelated
area code,application usage information,unrelated
area code,application version number,unrelated
area code,applications,unrelated
area code,approximate location,unrelated
bandwidth,access device,unrelated
bandwidth,access devices,unrelated
bandwidth,access times,unrelated
bandwidth,achievements,unrelated
bandwidth,ads clicked,unrelated
bandwidth,ads viewed,unrelated
bandwidth,advertiser id,unrelated
bandwidth,advertising id,unrelated
bandwidth,aggregated data,unrelated
bandwidth,android id,unrelated
bandwidth,anonymized information,unrelated
bandwidth,anonymous user usage data,unrelated
bandwidth,apple game center id,unrelated
bandwidth,application information,unrelated
bandwidth,application software,unrelated
bandwidth,application usage information,unrelated
bandwidth,application version number,unrelated
bandwidth,applications,unrelated
bandwidth,approximate location,unrelated
bandwidth,area code,unrelated
battery level,access times,unrelated
battery level,achievements,unrelated
battery level,ads clicked,unrelated
battery level,ads viewed,unrelated
battery level,advertiser id,unrelated
battery level,advertising id,unrelated
battery level,aggregated data,unrelated
battery level,android id,unrelated
battery level,anonymized information,unrelated
battery level,anonymous user usage data,unrelated
battery level,apple game center id,unrelated
battery level,application information,unrelated
battery level,application software,unrelated
battery level,application usage information,unrelated
battery level,application version number,unrelated
battery level,applications,unrelated
battery level,approximate location,unrelated
battery level,area code,unrelated
battery level,bandwidth,unrelated
brower language,access times,unrelated
brower language,achievements,unrelated
brower language,ads clicked,unrelated
brower language,ads viewed,unrelated
brower language,advertiser id,unrelated
brower language,advertising id,unrelated
brower language,aggregated data,unrelated
brower language,android id,unrelated
brower language,anonymized information,unrelated
brower language,anonymous user usage data,unrelated
brower language,apple game center id,unrelated
brower language,application information,unrelated
brower language,application software,unrelated
brower language,application usage information,unrelated
brower language,application version number,unrelated
brower language,applications,unrelated
brower language,approximate location,unrelated
brower language,area code,unrelated
brower language,bandwidth,unrelated
brower language,battery level,unrelated
browser information,access times,unrelated
browser information,achievements,unrelated
browser information,advertiser id,unrelated
browser information,advertising id,unrelated
browser information,aggregated data,unrelated
browser information,android id,unrelated
browser information,anonymized information,unrelated
browser information,anonymous user usage data,unrelated
browser information,apple game center id,unrelated
browser information,application information,unrelated
browser information,application software,unrelated
browser information,application usage information,unrelated
browser information,application version number,unrelated
browser information,applications,unrelated
browser information,approximate location,unrelated
browser information,area code,unrelated
browser information,bandwidth,unrelated
browser information,battery level,unrelated
browser language,access times,unrelated
browser language,achievements,unrelated
browser language,ads clicked,unrelated
browser language,ads viewed,unrelated
browser language,advertiser id,unrelated
browser language,advertising id,unrelated
browser language,aggregated data,unrelated
browser language,android id,unrelated
browser language,anonymized information,unrelated
browser language,anonymous user usage data,unrelated
browser language,apple game center id,unrelated
browser language,application information,unrelated
browser language,application software,unrelated
browser language,application usage information,unrelated
browser language,application version number,unrelated
browser language,applications,unrelated
browser language,approximate location,unrelated
browser language,area code,unrelated
browser language,bandwidth,unrelated
browser language,battery level,unrelated
browser language,brower language,unrelated
browser type,access times,unrelated
browser type,achievements,unrelated
browser type,ads clicked,unrelated
browser type,ads viewed,unrelated
browser type,advertiser id,unrelated
browser type,advertising id,unrelated
browser type,aggregated data,unrelated
browser type,android id,unrelated
browser type,anonymized information,unrelated
browser type,anonymous user usage data,unrelated
browser type,apple game center id,unrelated
browser type,application information,unrelated
browser type,application software,unrelated
browser type,application usage information,unrelated
browser type,application version number,unrelated
browser type,applications,unrelated
browser type,approximate location,unrelated
browser type,area code,unrelated
browser type,bandwidth,unrelated
browser type,battery level,unrelated
browser type,brower language,unrelated
browser type,browser language,unrelated
browser types,access times,unrelated
browser types,achievements,unrelated
browser types,ads clicked,unrelated
browser types,ads viewed,unrelated
browser types,advertiser id,unrelated
browser types,advertising id,unrelated
browser types,aggregated data,unrelated
browser types,android id,unrelated
browser types,anonymized information,unrelated
browser types,anonymous user usage data,unrelated
browser types,apple game center id,unrelated
browser types,application information,unrelated
browser types,application software,unrelated
browser types,application usage information,unrelated
browser types,application version number,unrelated
browser types,applications,unrelated
browser types,approximate location,unrelated
browser types,area code,unrelated
browser types,bandwidth,unrelated
browser types,battery level,unrelated
browser types,brower language,unrelated
browser types,browser language,unrelated
call duration,access device,unrelated
call duration,access devices,unrelated
call duration,access times,unrelated
call duration,achievements,unrelated
call duration,ads clicked,unrelated
call duration,ads viewed,unrelated
call duration,advertiser id,unrelated
call duration,advertising id,unrelated
call duration,aggregated data,unrelated
call duration,android id,unrelated
call duration,anonymized information,unrelated
call duration,anonymous user usage data,unrelated
call duration,apple game center id,unrelated
call duration,application information,unrelated
call duration,application software,unrelated
call duration,application usage information,unrelated
call duration,application version number,unrelated
call duration,applications,unrelated
call duration,approximate location,unrelated
call duration,area code,unrelated
call duration,bandwidth,unrelated
call duration,battery level,unrelated
call duration,brower language,unrelated
call duration,browser information,unrelated
call duration,browser language,unrelated
call duration,browser type,unrelated
call duration,browser types,unrelated
call time,access device,unrelated
call time,access devices,unrelated
call time,access times,unrelated
call time,achievements,unrelated
call time,ads clicked,unrelated
call time,ads viewed,unrelated
call time,advertiser id,unrelated
call time,advertising id,unrelated
call time,aggregated data,unrelated
call time,android id,unrelated
call time,anonymized information,unrelated
call time,anonymous user usage data,unrelated
call time,apple game center id,unrelated
call time,application information,unrelated
call time,application software,unrelated
call time,application usage information,unrelated
call time,application version number,unrelated
call time,applications,unrelated
call time,approximate location,unrelated
call time,area code,unrelated
call time,bandwidth,unrelated
call time,battery level,unrelated
call time,brower language,unrelated
call time,browser information,unrelated
call time,browser language,unrelated
call time,browser type,unrelated
call time,browser types,unrelated
call time,call duration,unrelated
call types,access device,unrelated
call types,access devices,unrelated
call types,access times,unrelated
call types,achievements,unrelated
call types,ads clicked,unrelated
call types,ads viewed,unrelated
call types,advertiser id,unrelated
call types,advertising id,unrelated
call types,aggregated data,unrelated
call types,android id,unrelated
call types,anonymized information,unrelated
call types,anonymous user usage data,unrelated
call types,apple game center id,unrelated
call types,application information,unrelated
call types,application software,unrelated
