Information Type LHS,Information Type RHS,Relation
mobile device unique identification id,device,hypernymy
mobile device unique identification id,device-related data,hypernymy
mobile device unique identification id,device-related information,hypernymy
mobile device unique identification id,device-specific information,hypernymy
mobile device unique identification id,device data,hypernymy
mobile device unique identification id,device id,hypernymy
mobile device unique identification id,device identifier,hypernymy
mobile device unique identification id,device identifiers,hypernymy
mobile device unique identification id,device ids,hypernymy
mobile device unique identification id,device information,hypernymy
mobile device unique identification id,device numbers,hypernymy
mobile device unique identification id,devices,hypernymy
mobile device unique identification id,did,hypernymy
mobile device unique identification id,electronic identification data,hypernymy
mobile device unique identification id,identifiers,hypernymy
mobile device unique identification id,identifying information,hypernymy
mobile device unique identification id,information,hypernymy
mobile device unique identification id,machine,hypernymy
mobile device unique identification id,mobile device,hypernymy
mobile device unique identification id,mobile device information,hypernymy
mobile device unique identification id,mobile device technical information,hypernymy
mobile device unique identification id,technical data,hypernymy
mobile device unique identification id,technical information,hypernymy
mobile device unique identification id,technically gathered information,hypernymy
mobile device unique identification id,technological information,hypernymy
mobile device unique identification id,technology,hypernymy
mobile device unique identification id,unique identifier,hypernymy
mobile device unique identification id,unique identifiers,hypernymy
mobile device unique identification id,unique information,hypernymy
mobile devices unique device id,access device,hypernymy
mobile devices unique device id,access devices,hypernymy
mobile devices unique device id,data,hypernymy
mobile devices unique device id,device,hypernymy
mobile devices unique device id,device-related data,hypernymy
mobile devices unique device id,device-related information,hypernymy
mobile devices unique device id,device-specific information,hypernymy
mobile devices unique device id,device data,hypernymy
mobile devices unique device id,device id,hypernymy
mobile devices unique device id,device identifier,hypernymy
mobile devices unique device id,device identifiers,hypernymy
mobile devices unique device id,device ids,hypernymy
mobile devices unique device id,device information,hypernymy
mobile devices unique device id,device numbers,hypernymy
mobile devices unique device id,devices,hypernymy
mobile devices unique device id,did,hypernymy
mobile devices unique device id,electronic identification data,hypernymy
mobile devices unique device id,identifiers,hypernymy
mobile devices unique device id,identifying information,hypernymy
mobile devices unique device id,information,hypernymy
mobile devices unique device id,machine,hypernymy
mobile devices unique device id,mobile device,hypernymy
mobile devices unique device id,mobile device information,hypernymy
mobile devices unique device id,mobile device technical information,hypernymy
mobile devices unique device id,technical data,hypernymy
mobile devices unique device id,technical information,hypernymy
mobile devices unique device id,technically gathered information,hypernymy
mobile devices unique device id,technological information,hypernymy
mobile devices unique device id,technology,hypernymy
mobile devices unique device id,unique identifier,hypernymy
mobile devices unique device id,unique identifiers,hypernymy
mobile devices unique device id,unique information,hypernymy
mobile devices unique identifier,access device,hypernymy
mobile devices unique identifier,access devices,hypernymy
mobile devices unique identifier,data,hypernymy
mobile devices unique identifier,device,hypernymy
mobile devices unique identifier,device-related data,hypernymy
mobile devices unique identifier,device-related information,hypernymy
mobile devices unique identifier,device-specific information,hypernymy
mobile devices unique identifier,device data,hypernymy
mobile devices unique identifier,device id,hypernymy
mobile devices unique identifier,device identifier,hypernymy
mobile devices unique identifier,device identifiers,hypernymy
mobile devices unique identifier,device ids,hypernymy
mobile devices unique identifier,device information,hypernymy
mobile devices unique identifier,device numbers,hypernymy
mobile devices unique identifier,devices,hypernymy
mobile devices unique identifier,did,hypernymy
mobile devices unique identifier,electronic identification data,hypernymy
mobile devices unique identifier,identifiers,hypernymy
mobile devices unique identifier,identifying information,hypernymy
mobile devices unique identifier,information,hypernymy
mobile devices unique identifier,machine,hypernymy
mobile devices unique identifier,mobile device,hypernymy
mobile devices unique identifier,mobile device information,hypernymy
mobile devices unique identifier,mobile device technical information,hypernymy
mobile devices unique identifier,technical data,hypernymy
mobile devices unique identifier,technical information,hypernymy
mobile devices unique identifier,technically gathered information,hypernymy
mobile devices unique identifier,technological information,hypernymy
mobile devices unique identifier,technology,hypernymy
mobile devices unique identifier,unique identifier,hypernymy
mobile devices unique identifier,unique identifiers,hypernymy
mobile devices unique identifier,unique information,hypernymy
mobile hardware device id,access device,hypernymy
mobile hardware device id,access devices,hypernymy
mobile hardware device id,data,hypernymy
mobile hardware device id,device,hypernymy
mobile hardware device id,device-related data,hypernymy
mobile hardware device id,device-related information,hypernymy
mobile hardware device id,device-specific information,hypernymy
mobile hardware device id,device data,hypernymy
mobile hardware device id,device id,hypernymy
mobile hardware device id,device identifier,hypernymy
mobile hardware device id,device identifiers,hypernymy
mobile hardware device id,device ids,hypernymy
mobile hardware device id,device information,hypernymy
mobile hardware device id,device numbers,hypernymy
mobile hardware device id,devices,hypernymy
mobile hardware device id,did,hypernymy
mobile hardware device id,electronic identification data,hypernymy
mobile hardware device id,identifiers,hypernymy
mobile hardware device id,identifying information,hypernymy
mobile hardware device id,information,hypernymy
mobile hardware device id,machine,hypernymy
mobile hardware device id,mobile device,hypernymy
mobile hardware device id,mobile device information,hypernymy
mobile hardware device id,mobile device technical information,hypernymy
mobile hardware device id,technical data,hypernymy
mobile hardware device id,technical information,hypernymy
mobile hardware device id,technically gathered information,hypernymy
mobile hardware device id,technological information,hypernymy
mobile hardware device id,technology,hypernymy
mobile operating system,access device,hypernymy
mobile operating system,access devices,hypernymy
mobile operating system,computer,hypernymy
mobile operating system,computer information,hypernymy
mobile operating system,computer system information,hypernymy
mobile operating system,data,hypernymy
mobile operating system,device,hypernymy
mobile operating system,device-related data,hypernymy
mobile operating system,device-related information,hypernymy
mobile operating system,device-specific information,hypernymy
mobile operating system,device data,hypernymy
mobile operating system,device information,hypernymy
mobile operating system,devices,hypernymy
mobile operating system,information,hypernymy
mobile operating system,machine,hypernymy
mobile operating system,mobile device,hypernymy
mobile operating system,mobile device information,hypernymy
mobile operating system,mobile device technical information,hypernymy
mobile operating system,platform,hypernymy
mobile operating system,software,hypernymy
mobile operating system,software information,hypernymy
mobile operating system,technical data,hypernymy
mobile operating system,technical information,hypernymy
mobile operating system,technically gathered information,hypernymy
mobile operating system,technological information,hypernymy
mobile operating system,technology,hypernymy
mobile phone model,access device,hypernymy
mobile phone model,access devices,hypernymy
mobile phone model,data,hypernymy
mobile phone model,device,hypernymy
mobile phone model,device-related data,hypernymy
mobile phone model,device-related information,hypernymy
mobile phone model,device-specific information,hypernymy
mobile phone model,device data,hypernymy
mobile phone model,device information,hypernymy
mobile phone model,devices,hypernymy
mobile phone model,information,hypernymy
mobile phone model,machine,hypernymy
mobile phone model,mobile device,hypernymy
mobile phone model,mobile device information,hypernymy
mobile phone model,mobile device technical information,hypernymy
mobile phone model,technical data,hypernymy
mobile phone model,technical information,hypernymy
mobile phone model,technically gathered information,hypernymy
mobile phone model,technological information,hypernymy
mobile phone model,technology,hypernymy
mobile phone number,access device,hypernymy
mobile phone number,access devices,hypernymy
mobile phone number,data,hypernymy
mobile phone number,device,hypernymy
mobile phone number,device-related data,hypernymy
mobile phone number,device-related information,hypernymy
mobile phone number,device-specific information,hypernymy
mobile phone number,device data,hypernymy
mobile phone number,device information,hypernymy
mobile phone number,devices,hypernymy
mobile phone number,information,hypernymy
mobile phone number,log data,hypernymy
mobile phone number,log information,hypernymy
mobile phone number,machine,hypernymy
mobile phone number,mobile device,hypernymy
mobile phone number,mobile device information,hypernymy
mobile phone number,mobile device technical information,hypernymy
mobile phone number,personal information,hypernymy
mobile phone number,technical data,hypernymy
mobile phone number,technical information,hypernymy
mobile phone number,technically gathered information,hypernymy
mobile phone number,technological information,hypernymy
mobile phone number,technology,hypernymy
mobile phone number,telephony log information,hypernymy
mobile phone number,user information,hypernymy
mobile service carrier name,access device,hypernymy
mobile service carrier name,access devices,hypernymy
mobile service carrier name,data,hypernymy
mobile service carrier name,device,hypernymy
mobile service carrier name,device-related data,hypernymy
mobile service carrier name,device-related information,hypernymy
mobile service carrier name,device-specific information,hypernymy
mobile service carrier name,device data,hypernymy
mobile service carrier name,device information,hypernymy
mobile service carrier name,devices,hypernymy
mobile service carrier name,information,hypernymy
mobile service carrier name,internet service provider,hypernymy
mobile service carrier name,isp,hypernymy
mobile service carrier name,machine,hypernymy
mobile service carrier name,mobile device,hypernymy
mobile service carrier name,mobile device information,hypernymy
mobile service carrier name,mobile device technical information,hypernymy
mobile service carrier name,network information,hypernymy
mobile service carrier name,technical data,hypernymy
mobile service carrier name,technical information,hypernymy
mobile service carrier name,technically gathered information,hypernymy
mobile service carrier name,technological information,hypernymy
mobile service carrier name,technology,hypernymy
mobile service carrier name,telecommunications carrier information,hypernymy
mobile unique device id,access device,hypernymy
mobile unique device id,access devices,hypernymy
mobile unique device id,data,hypernymy
mobile unique device id,device,hypernymy
mobile unique device id,device-related data,hypernymy
mobile unique device id,device-related information,hypernymy
mobile unique device id,device-specific information,hypernymy
mobile unique device id,device data,hypernymy
mobile unique device id,device id,hypernymy
mobile unique device id,device identifier,hypernymy
mobile unique device id,device identifiers,hypernymy
mobile unique device id,device ids,hypernymy
mobile unique device id,device information,hypernymy
mobile unique device id,device numbers,hypernymy
mobile unique device id,devices,hypernymy
mobile unique device id,did,hypernymy
mobile unique device id,electronic identification data,hypernymy
mobile unique device id,identifiers,hypernymy
mobile unique device id,identifying information,hypernymy
mobile unique device id,information,hypernymy
mobile unique device id,machine,hypernymy
mobile unique device id,mobile device,hypernymy
mobile unique device id,mobile device information,hypernymy
mobile unique device id,mobile device technical information,hypernymy
mobile unique device id,technical data,hypernymy
mobile unique device id,technical information,hypernymy
mobile unique device id,technically gathered information,hypernymy
mobile unique device id,technological information,hypernymy
mobile unique device id,technology,hypernymy
mobile unique device id,unique identifier,hypernymy
mobile unique device id,unique identifiers,hypernymy
mobile unique device id,unique information,hypernymy
nearby device information,data,hypernymy
nearby device information,information,hypernymy
nearby device information,technical data,hypernymy
nearby device information,technical information,hypernymy
nearby device information,technically gathered information,hypernymy
nearby device information,technological information,hypernymy
nearby device information,technology,hypernymy
network information,data,hypernymy
network information,information,hypernymy
network measurements,data,hypernymy
network measurements,information,hypernymy
network measurements,technical data,hypernymy
network measurements,technical information,hypernymy
network measurements,technically gathered information,hypernymy
network measurements,technological information,hypernymy
network media access control,access device,hypernymy
network media access control,access devices,hypernymy
network media access control,data,hypernymy
network media access control,device,hypernymy
network media access control,device-related data,hypernymy
network media access control,device-related information,hypernymy
network media access control,device-specific information,hypernymy
network media access control,device data,hypernymy
network media access control,device id,hypernymy
network media access control,device identifier,hypernymy
network media access control,device identifiers,hypernymy
network media access control,device ids,hypernymy
network media access control,device information,hypernymy
network media access control,device numbers,hypernymy
network media access control,device unique identifier,hypernymy
network media access control,devices,hypernymy
network media access control,did,hypernymy
network media access control,electronic identification data,hypernymy
network media access control,hardware,hypernymy
network media access control,hardware device id,hypernymy
network media access control,hardware information,hypernymy
network media access control,identifiers,hypernymy
network media access control,identifying information,hypernymy
network media access control,information,hypernymy
network media access control,machine,hypernymy
network media access control,technical data,hypernymy
network media access control,technical information,hypernymy
network media access control,technically gathered information,hypernymy
network media access control,technological information,hypernymy
network media access control,technology,hypernymy
network media access control,udid,hypernymy
network media access control,unique device id,hypernymy
network media access control,unique device identifier,hypernymy
network media access control,unique device identifiers,hypernymy
network media access control,unique device ids,hypernymy
network media access control,unique identifier,hypernymy
network media access control,unique identifiers,hypernymy
network media access control,unique information,hypernymy
network media access control,unique user device number,hypernymy
network performance,data,hypernymy
network performance,information,hypernymy
network performance,technical data,hypernymy
network performance,technical information,hypernymy
network performance,technically gathered information,hypernymy
network performance,technological information,hypernymy
network protocol,data,hypernymy
network protocol,information,hypernymy
network protocol,technical data,hypernymy
network protocol,technical information,hypernymy
network protocol,technically gathered information,hypernymy
network protocol,technological information,hypernymy
network type,data,hypernymy
network type,information,hypernymy
network type,technical data,hypernymy
network type,technical information,hypernymy
network type,technically gathered information,hypernymy
network type,technological information,hypernymy
nymgo software usage information,access device,hypernymy
nymgo software usage information,access devices,hypernymy
nymgo software usage information,application information,hypernymy
nymgo software usage information,applications,hypernymy
nymgo software usage information,computer,hypernymy
nymgo software usage information,computer information,hypernymy
nymgo software usage information,computer system information,hypernymy
nymgo software usage information,data,hypernymy
nymgo software usage information,device,hypernymy
nymgo software usage information,device-related data,hypernymy
nymgo software usage information,device-related information,hypernymy
nymgo software usage information,device-specific information,hypernymy
nymgo software usage information,device data,hypernymy
nymgo software usage information,device information,hypernymy
nymgo software usage information,devices,hypernymy
nymgo software usage information,event,hypernymy
nymgo software usage information,information,hypernymy
nymgo software usage information,interactions,hypernymy
nymgo software usage information,machine,hypernymy
nymgo software usage information,software,hypernymy
nymgo software usage information,software information,hypernymy
nymgo software usage information,technical data,hypernymy
nymgo software usage information,technical information,hypernymy
nymgo software usage information,technically gathered information,hypernymy
nymgo software usage information,technological information,hypernymy
nymgo software usage information,technology,hypernymy
nymgo software usage information,usage,hypernymy
nymgo software usage information,usage information,hypernymy
open device identification number,access device,hypernymy
open device identification number,access devices,hypernymy
open device identification number,data,hypernymy
open device identification number,device,hypernymy
open device identification number,device-related data,hypernymy
open device identification number,device-related information,hypernymy
open device identification number,device-specific information,hypernymy
open device identification number,device data,hypernymy
open device identification number,device id,hypernymy
open device identification number,device identifier,hypernymy
open device identification number,device identifiers,hypernymy
open device identification number,device ids,hypernymy
open device identification number,device information,hypernymy
open device identification number,device numbers,hypernymy
open device identification number,devices,hypernymy
open device identification number,did,hypernymy
open device identification number,electronic identification data,hypernymy
open device identification number,identifiers,hypernymy
open device identification number,identifying information,hypernymy
open device identification number,information,hypernymy
open device identification number,machine,hypernymy
open device identification number,technical data,hypernymy
open device identification number,technical information,hypernymy
open device identification number,technically gathered information,hypernymy
open device identification number,technological information,hypernymy
open device identification number,technology,hypernymy
open device identification number,unique identifier,hypernymy
open device identification number,unique identifiers,hypernymy
open device identification number,unique information,hypernymy
open udid,access device,hypernymy
open udid,access devices,hypernymy
open udid,data,hypernymy
open udid,device,hypernymy
open udid,device-related data,hypernymy
open udid,device-related information,hypernymy
open udid,device-specific information,hypernymy
open udid,device data,hypernymy
open udid,device id,hypernymy
open udid,device identifier,hypernymy
open udid,device identifiers,hypernymy
open udid,device ids,hypernymy
open udid,device information,hypernymy
open udid,device numbers,hypernymy
open udid,devices,hypernymy
open udid,did,hypernymy
open udid,electronic identification data,hypernymy
open udid,identifiers,hypernymy
open udid,identifying information,hypernymy
open udid,information,hypernymy
open udid,machine,hypernymy
open udid,technical data,hypernymy
open udid,technical information,hypernymy
open udid,technically gathered information,hypernymy
open udid,technological information,hypernymy
open udid,technology,hypernymy
open udid,unique identifier,hypernymy
open udid,unique identifiers,hypernymy
open udid,unique information,hypernymy
operating system,access device,hypernymy
operating system,access devices,hypernymy
operating system,computer,hypernymy
operating system,computer information,hypernymy
operating system,computer system information,hypernymy
operating system,data,hypernymy
operating system,device,hypernymy
operating system,device-related data,hypernymy
operating system,device-related information,hypernymy
operating system,device-specific information,hypernymy
operating system,device data,hypernymy
operating system,device information,hypernymy
operating system,devices,hypernymy
operating system,information,hypernymy
operating system,machine,hypernymy
operating system,mobile device,hypernymy
operating system,mobile device information,hypernymy
operating system,mobile device technical information,hypernymy
operating system,technical data,hypernymy
operating system,technical information,hypernymy
operating system,technically gathered information,hypernymy
operating system,technological information,hypernymy
operating system,technology,hypernymy
operating system information,access device,hypernymy
operating system information,access devices,hypernymy
operating system information,computer,hypernymy
operating system information,computer information,hypernymy
operating system information,computer system information,hypernymy
operating system information,data,hypernymy
operating system information,device,hypernymy
operating system information,device-related data,hypernymy
operating system information,device-related information,hypernymy
operating system information,device-specific information,hypernymy
operating system information,device data,hypernymy
operating system information,device information,hypernymy
operating system information,devices,hypernymy
operating system information,information,hypernymy
operating system information,machine,hypernymy
operating system information,mobile device,hypernymy
operating system information,mobile device information,hypernymy
operating system information,mobile device technical information,hypernymy
operating system information,technical data,hypernymy
operating system information,technical information,hypernymy
operating system information,technically gathered information,hypernymy
operating system information,technological information,hypernymy
operating system information,technology,hypernymy
operating system type,access device,hypernymy
operating system type,access devices,hypernymy
operating system type,computer,hypernymy
operating system type,computer information,hypernymy
operating system type,computer system information,hypernymy
operating system type,data,hypernymy
operating system type,device,hypernymy
operating system type,device-related data,hypernymy
operating system type,device-related information,hypernymy
operating system type,device-specific information,hypernymy
operating system type,device data,hypernymy
operating system type,device information,hypernymy
operating system type,devices,hypernymy
operating system type,information,hypernymy
operating system type,machine,hypernymy
operating system type,mobile device,hypernymy
operating system type,mobile device information,hypernymy
operating system type,mobile device technical information,hypernymy
operating system type,platform,hypernymy
operating system type,software,hypernymy
operating system type,software information,hypernymy
operating system type,technical data,hypernymy
operating system type,technical information,hypernymy
operating system type,technically gathered information,hypernymy
operating system type,technological information,hypernymy
operating system type,technology,hypernymy
operating system version,access device,hypernymy
operating system version,access devices,hypernymy
operating system version,computer,hypernymy
operating system version,computer information,hypernymy
operating system version,computer system information,hypernymy
operating system version,data,hypernymy
operating system version,device,hypernymy
operating system version,device-related data,hypernymy
operating system version,device-related information,hypernymy
operating system version,device-specific information,hypernymy
operating system version,device data,hypernymy
operating system version,device information,hypernymy
operating system version,devices,hypernymy
operating system version,identifiers,hypernymy
operating system version,identifying information,hypernymy
operating system version,information,hypernymy
operating system version,machine,hypernymy
operating system version,mobile device,hypernymy
operating system version,mobile device information,hypernymy
operating system version,mobile device technical information,hypernymy
operating system version,platform,hypernymy
operating system version,software,hypernymy
operating system version,software information,hypernymy
operating system version,technical data,hypernymy
operating system version,technical information,hypernymy
operating system version,technically gathered information,hypernymy
operating system version,technological information,hypernymy
operating system version,technology,hypernymy
operation system version,access device,hypernymy
operation system version,access devices,hypernymy
operation system version,computer,hypernymy
operation system version,computer information,hypernymy
operation system version,computer system information,hypernymy
operation system version,data,hypernymy
operation system version,device,hypernymy
operation system version,device-related data,hypernymy
operation system version,device-related information,hypernymy
operation system version,device-specific information,hypernymy
operation system version,device data,hypernymy
operation system version,device information,hypernymy
operation system version,devices,hypernymy
operation system version,identifiers,hypernymy
operation system version,identifying information,hypernymy
operation system version,information,hypernymy
operation system version,machine,hypernymy
operation system version,mobile device,hypernymy
operation system version,mobile device information,hypernymy
operation system version,mobile device technical information,hypernymy
operation system version,platform,hypernymy
operation system version,software,hypernymy
operation system version,software information,hypernymy
operation system version,technical data,hypernymy
operation system version,technical information,hypernymy
operation system version,technically gathered information,hypernymy
operation system version,technological information,hypernymy
operation system version,technology,hypernymy
other hardware device id,access device,hypernymy
other hardware device id,access devices,hypernymy
other hardware device id,data,hypernymy
other hardware device id,device,hypernymy
other hardware device id,device-related data,hypernymy
other hardware device id,device-related information,hypernymy
other hardware device id,device-specific information,hypernymy
other hardware device id,device data,hypernymy
other hardware device id,device information,hypernymy
other hardware device id,devices,hypernymy
other hardware device id,electronic identification data,hypernymy
other hardware device id,identifiers,hypernymy
other hardware device id,identifying information,hypernymy
other hardware device id,information,hypernymy
other hardware device id,machine,hypernymy
other hardware device id,technical data,hypernymy
other hardware device id,technical information,hypernymy
other hardware device id,technically gathered information,hypernymy
other hardware device id,technological information,hypernymy
other hardware device id,technology,hypernymy
page view order,access device,hypernymy
page view order,access devices,hypernymy
page view order,aggregated data,hypernymy
page view order,analytics information,hypernymy
page view order,browser,hypernymy
page view order,browser information,hypernymy
page view order,computer,hypernymy
page view order,computer information,hypernymy
page view order,computer system information,hypernymy
page view order,content viewed,hypernymy
page view order,data,hypernymy
page view order,device,hypernymy
page view order,device-related data,hypernymy
page view order,device-related information,hypernymy
page view order,device-specific information,hypernymy
page view order,device data,hypernymy
page view order,device information,hypernymy
page view order,devices,hypernymy
page view order,event,hypernymy
page view order,information,hypernymy
page view order,interactions,hypernymy
page view order,log data,hypernymy
page view order,log information,hypernymy
page view order,machine,hypernymy
page view order,page view statistics,hypernymy
page view order,session data,hypernymy
page view order,software,hypernymy
page view order,software information,hypernymy
page view order,statistics,hypernymy
page view order,technical data,hypernymy
page view order,technical information,hypernymy
page view order,technically gathered information,hypernymy
page view order,technological information,hypernymy
page view order,technology,hypernymy
page view order,usage,hypernymy
page view order,usage information,hypernymy
page view order,web request,hypernymy
page view statistics,data,hypernymy
page view statistics,information,hypernymy
page view time,aggregated data,hypernymy
page view time,analytics information,hypernymy
page view time,data,hypernymy
page view time,information,hypernymy
page view time,log data,hypernymy
page view time,log information,hypernymy
page view time,statistics,hypernymy
page view time,technical data,hypernymy
page view time,technical information,hypernymy
page view time,technically gathered information,hypernymy
page view time,technological information,hypernymy
page views,access device,hypernymy
page views,access devices,hypernymy
page views,aggregated data,hypernymy
page views,analytics information,hypernymy
page views,browser,hypernymy
page views,browser information,hypernymy
page views,computer,hypernymy
page views,computer information,hypernymy
page views,computer system information,hypernymy
page views,data,hypernymy
page views,device,hypernymy
page views,device-related data,hypernymy
page views,device-related information,hypernymy
page views,device-specific information,hypernymy
page views,device data,hypernymy
page views,device information,hypernymy
page views,devices,hypernymy
page views,event,hypernymy
page views,information,hypernymy
page views,interactions,hypernymy
page views,log data,hypernymy
page views,log information,hypernymy
page views,machine,hypernymy
page views,session data,hypernymy
page views,software,hypernymy
page views,software information,hypernymy
page views,statistics,hypernymy
page views,technical data,hypernymy
page views,technical information,hypernymy
page views,technically gathered information,hypernymy
page views,technological information,hypernymy
page views,technology,hypernymy
page views,usage,hypernymy
page views,usage information,hypernymy
pages viewed,access device,hypernymy
pages viewed,access devices,hypernymy
pages viewed,aggregated data,hypernymy
pages viewed,analytics information,hypernymy
pages viewed,browser,hypernymy
pages viewed,browser information,hypernymy
pages viewed,computer,hypernymy
pages viewed,computer information,hypernymy
pages viewed,computer system information,hypernymy
pages viewed,data,hypernymy
pages viewed,device,hypernymy
pages viewed,device-related data,hypernymy
pages viewed,device-related information,hypernymy
pages viewed,device-specific information,hypernymy
pages viewed,device data,hypernymy
pages viewed,device information,hypernymy
pages viewed,devices,hypernymy
pages viewed,event,hypernymy
pages viewed,information,hypernymy
pages viewed,interactions,hypernymy
pages viewed,log data,hypernymy
pages viewed,log information,hypernymy
pages viewed,machine,hypernymy
pages viewed,session data,hypernymy
pages viewed,software,hypernymy
pages viewed,software information,hypernymy
pages viewed,statistics,hypernymy
pages viewed,technical data,hypernymy
pages viewed,technical information,hypernymy
pages viewed,technically gathered information,hypernymy
pages viewed,technological information,hypernymy
pages viewed,technology,hypernymy
pages viewed,usage,hypernymy
pages viewed,usage information,hypernymy
peripheral hardware,access device,hypernymy
peripheral hardware,access devices,hypernymy
peripheral hardware,data,hypernymy
peripheral hardware,device,hypernymy
peripheral hardware,device-related data,hypernymy
peripheral hardware,device-related information,hypernymy
peripheral hardware,device-specific information,hypernymy
peripheral hardware,device data,hypernymy
peripheral hardware,device information,hypernymy
peripheral hardware,devices,hypernymy
peripheral hardware,information,hypernymy
peripheral hardware,machine,hypernymy
peripheral hardware,technical data,hypernymy
peripheral hardware,technical information,hypernymy
peripheral hardware,technically gathered information,hypernymy
peripheral hardware,technological information,hypernymy
peripheral hardware,technology,hypernymy
peripherals,access device,hypernymy
peripherals,access devices,hypernymy
peripherals,data,hypernymy
peripherals,device,hypernymy
peripherals,device-related data,hypernymy
peripherals,device-related information,hypernymy
peripherals,device-specific information,hypernymy
peripherals,device data,hypernymy
peripherals,device information,hypernymy
peripherals,devices,hypernymy
peripherals,information,hypernymy
peripherals,machine,hypernymy
peripherals,technical data,hypernymy
peripherals,technical information,hypernymy
peripherals,technically gathered information,hypernymy
peripherals,technological information,hypernymy
peripherals,technology,hypernymy
persistent device identifiers,access device,hypernymy
persistent device identifiers,access devices,hypernymy
persistent device identifiers,data,hypernymy
persistent device identifiers,device,hypernymy
persistent device identifiers,device-related data,hypernymy
persistent device identifiers,device-related information,hypernymy
persistent device identifiers,device-specific information,hypernymy
persistent device identifiers,device data,hypernymy
persistent device identifiers,device information,hypernymy
persistent device identifiers,devices,hypernymy
persistent device identifiers,electronic identification data,hypernymy
persistent device identifiers,identifiers,hypernymy
persistent device identifiers,identifying information,hypernymy
persistent device identifiers,information,hypernymy
persistent device identifiers,machine,hypernymy
persistent device identifiers,technical data,hypernymy
persistent device identifiers,technical information,hypernymy
persistent device identifiers,technically gathered information,hypernymy
persistent device identifiers,technological information,hypernymy
persistent device identifiers,technology,hypernymy
phone number,access device,hypernymy
phone number,access devices,hypernymy
phone number,data,hypernymy
phone number,device,hypernymy
phone number,device-related data,hypernymy
phone number,device-related information,hypernymy
phone number,device-specific information,hypernymy
phone number,device data,hypernymy
phone number,device information,hypernymy
phone number,devices,hypernymy
phone number,information,hypernymy
phone number,log data,hypernymy
phone number,log information,hypernymy
phone number,machine,hypernymy
phone number,personal information,hypernymy
phone number,technical data,hypernymy
phone number,technical information,hypernymy
phone number,technically gathered information,hypernymy
phone number,technological information,hypernymy
phone number,technology,hypernymy
phone status,access device,hypernymy
phone status,access devices,hypernymy
phone status,data,hypernymy
phone status,device,hypernymy
phone status,device-related data,hypernymy
phone status,device-related information,hypernymy
phone status,device-specific information,hypernymy
phone status,device data,hypernymy
phone status,device information,hypernymy
phone status,devices,hypernymy
phone status,information,hypernymy
phone status,machine,hypernymy
phone status,technical data,hypernymy
phone status,technical information,hypernymy
phone status,technically gathered information,hypernymy
phone status,technological information,hypernymy
phone status,technology,hypernymy
photos,data,hypernymy
photos,information,hypernymy
physical location,data,hypernymy
physical location,information,hypernymy
physical location,technical data,hypernymy
physical location,technical information,hypernymy
physical location,technically gathered information,hypernymy
physical location,technological information,hypernymy
platform,access device,hypernymy
platform,access devices,hypernymy
platform,data,hypernymy
platform,device,hypernymy
platform,device-related data,hypernymy
platform,device-related information,hypernymy
platform,device-specific information,hypernymy
platform,device data,hypernymy
platform,device information,hypernymy
platform,devices,hypernymy
platform,information,hypernymy
platform,machine,hypernymy
platform,technical data,hypernymy
platform,technical information,hypernymy
platform,technically gathered information,hypernymy
platform,technological information,hypernymy
platform,technology,hypernymy
platform type,access device,hypernymy
platform type,access devices,hypernymy
platform type,computer,hypernymy
platform type,computer information,hypernymy
platform type,computer system information,hypernymy
platform type,data,hypernymy
platform type,device,hypernymy
platform type,device-related data,hypernymy
platform type,device-related information,hypernymy
platform type,device-specific information,hypernymy
platform type,device data,hypernymy
platform type,device information,hypernymy
platform type,devices,hypernymy
platform type,information,hypernymy
platform type,machine,hypernymy
platform type,mobile device,hypernymy
platform type,mobile device information,hypernymy
platform type,mobile device technical information,hypernymy
platform type,technical data,hypernymy
platform type,technical information,hypernymy
platform type,technically gathered information,hypernymy
platform type,technological information,hypernymy
platform type,technology,hypernymy
platform types,access device,hypernymy
platform types,access devices,hypernymy
platform types,computer,hypernymy
platform types,computer information,hypernymy
platform types,computer system information,hypernymy
platform types,data,hypernymy
platform types,device,hypernymy
platform types,device-related data,hypernymy
platform types,device-related information,hypernymy
platform types,device-specific information,hypernymy
platform types,device data,hypernymy
platform types,device information,hypernymy
platform types,devices,hypernymy
platform types,information,hypernymy
platform types,machine,hypernymy
platform types,mobile device,hypernymy
platform types,mobile device information,hypernymy
platform types,mobile device technical information,hypernymy
platform types,technical data,hypernymy
platform types,technical information,hypernymy
platform types,technically gathered information,hypernymy
platform types,technological information,hypernymy
platform types,technology,hypernymy
player interactions,data,hypernymy
player interactions,event,hypernymy
player interactions,game system,hypernymy
player interactions,information,hypernymy
player interactions,interactions,hypernymy
player interactions,technical data,hypernymy
player interactions,technical information,hypernymy
player interactions,technically gathered information,hypernymy
player interactions,technological information,hypernymy
player interactions,technology,hypernymy
player interactions,usage,hypernymy
player interactions,usage information,hypernymy
possibly ip address,data,hypernymy
possibly ip address,information,hypernymy
possibly ip address,network information,hypernymy
possibly ip address,network protocol,hypernymy
possibly ip address,personal information,hypernymy
possibly ip address,technical data,hypernymy
possibly ip address,technical information,hypernymy
possibly ip address,technically gathered information,hypernymy
possibly ip address,technological information,hypernymy
possibly ip address,technology,hypernymy
possibly ip address,user information,hypernymy
postal code,actual location,hypernymy
postal code,data,hypernymy
postal code,geo-location,hypernymy
postal code,geo-location information,hypernymy
postal code,geographic data,hypernymy
postal code,geographic information,hypernymy
